Acc_X,Acc_Y,Acc_Z,Class
1.822539,-9.284468,1.975249,1
2.320259,-10.08566,-0.034121,1
2.075369,-9.431964,2.158344,1
2.08507,-9.45002,0.016821,1
1.743057,-9.532401,1.581102,1
2.158295,-9.854578,0.613633,1
1.837622,-10.268064,0.104196,1
1.375076,-9.550745,1.218312,1
2.470897,-10.122662,0.1971,1
2.012139,-9.232406,1.701804,1
2.157312,-9.950086,0.10899,1
1.838806,-9.409107,1.867464,1
2.043224,-10.017422,-0.203293,1
2.406644,-9.084792,2.312435,1
2.15998,-9.657836,0.092977,1
1.704981,-9.584633,1.804007,1
2.573472,-9.722542,0.265295,1
2.151101,-9.417198,1.036029,1
2.159971,-9.842128,1.229664,1
2.537536,-10.256967,0.352114,1
1.778206,-9.082832,1.782472,1
2.430589,-10.022073,0.256102,1
1.914038,-9.354245,1.896485,1
2.577053,-9.950676,-0.064668,1
1.821686,-9.398221,1.730893,1
2.508518,-9.808429,0.294683,1
1.60393,-9.334808,1.466327,1
2.339644,-10.15039,-0.025679,1
2.241351,-9.385799,2.22102,1
2.107562,-9.659534,-0.214315,1
2.319352,-9.894098,1.933641,1
2.096977,-9.389494,-0.183209,1
2.108093,-9.618039,1.782724,1
2.119293,-9.490585,0.501411,1
1.886867,-10.213016,0.030044,1
1.634896,-9.683155,0.189316,1
2.939375,-10.098376,-0.086665,1
1.963402,-9.105355,1.22564,1
2.588627,-10.073951,0.198712,1
1.87454,-9.239971,1.527628,1
2.865836,-9.681211,-0.103243,1
1.874596,-9.521907,1.698282,1
2.522959,-9.850531,-0.006079,1
1.47982,-9.156119,2.202552,1
2.294323,-9.661077,0.219321,1
2.049224,-9.560654,0.985025,1
2.317803,-9.750643,0.744577,1
2.216326,-9.49164,0.841649,1
2.189157,-9.764023,1.005851,1
2.58394,-9.841759,0.342561,1
1.748272,-9.484456,1.497474,1
2.523938,-10.050685,-0.008175,1
2.018288,-9.269505,1.706822,1
2.545664,-9.732738,0.104561,1
1.749027,-9.485171,1.864214,1
2.198511,-9.74783,-0.234083,1
2.113942,-9.405148,1.845033,1
2.217513,-9.662042,0.044355,1
1.683251,-9.562917,1.580011,1
2.368263,-9.740881,0.666218,1
2.403749,-9.852104,0.481573,1
1.682611,-9.533313,1.343515,1
2.061591,-10.255987,0.204212,1
1.541277,-9.336328,1.465604,1
2.237791,-9.823655,-0.732256,1
1.559184,-9.603727,0.929612,1
2.563118,-9.702402,0.252848,1
2.162396,-9.606042,0.750551,1
1.786075,-9.874669,1.161258,1
2.494268,-9.874582,0.444558,1
1.647962,-9.458136,1.498552,1
2.309557,-10.218955,0.129001,1
1.747752,-9.236012,1.315242,1
2.564226,-9.935253,0.206434,1
1.640453,-9.394285,1.906513,1
1.91088,-9.886405,0.26863,1
2.030412,-9.496782,2.145433,1
2.170648,-9.832184,-0.575249,1
2.119368,-9.04811,2.108293,1
2.462156,-9.761637,-0.011042,1
1.937247,-9.574997,1.546993,1
2.344517,-9.649838,0.481207,1
2.074785,-9.491465,0.894533,1
2.115663,-9.839096,1.086724,1
2.374254,-9.7996,0.548917,1
1.68336,-9.683656,1.263595,1
2.573984,-10.025201,0.357105,1
1.718698,-9.159513,1.772404,1
2.534681,-9.917104,0.027767,1
1.792141,-9.088522,2.325591,1
1.993778,-10.106236,-0.136657,1
1.862316,-9.987052,1.788792,1
2.025172,-9.225115,-0.14649,1
1.874383,-10.294875,-0.07195,1
1.533271,-9.62615,0.452358,1
2.834566,-9.996302,0.091022,1
1.675389,-9.297868,1.794942,1
2.306178,-10.047139,0.133455,1
1.87819,-9.160931,2.033301,1
2.468,-9.770027,0.08256,1
1.59588,-9.168566,1.94878,1
2.270331,-10.391413,0.070597,1
1.925931,-9.132222,1.610842,1
2.434477,-10.164331,0.234118,1
1.786589,-9.391191,1.277814,1
2.667241,-9.773576,0.173829,1
1.915496,-9.257275,1.936358,1
2.570814,-10.185565,0.042822,1
1.670763,-9.176276,1.812671,1
2.384333,-10.022426,0.194399,1
1.69244,-9.22665,1.580667,1
2.827835,-10.144462,0.156564,1
2.048962,-9.292902,1.44249,1
2.626812,-9.800709,0.272765,1
1.732595,-9.141106,2.054911,1
2.341751,-10.082142,0.062421,1
1.845357,-9.249953,1.914682,1
2.248148,-10.15179,-0.033275,1
1.730688,-9.809086,2.242119,1
1.912393,-9.511432,-0.201454,1
1.265284,-9.701479,0.95559,1
2.418795,-9.689587,0.187654,1
1.788777,-9.782849,0.787396,1
2.177759,-9.702034,0.637459,1
1.93769,-9.594409,0.607706,1
2.001226,-9.889772,1.034456,1
2.043738,-9.695332,0.74782,1
1.954848,-9.757385,1.199816,1
2.210016,-10.114736,0.258692,1
1.562306,-9.350379,1.228116,1
2.492415,-9.954821,0.379388,1
1.856303,-9.236611,1.567158,1
2.169755,-10.345826,0.496951,1
1.836272,-8.922509,2.185175,1
2.20035,-9.975324,0.133605,1
1.326275,-9.230762,1.947265,1
2.444473,-9.946429,0.344189,1
1.68145,-9.414955,2.02109,1
2.437565,-9.896908,0.541033,1
1.746973,-9.438983,1.440298,1
2.28292,-9.95906,0.43954,1
1.933613,-9.41157,1.501362,1
2.627038,-9.875258,0.22072,1
1.776576,-9.330364,1.687373,1
1.967683,-10.13662,0.262973,1
1.566772,-9.489935,1.712411,1
2.247866,-10.095859,-0.269824,1
1.348339,-9.23446,1.724594,1
1.611574,-10.031976,0.086441,1
1.999833,-9.964981,0.477801,1
1.397109,-9.518104,1.264,1
2.646021,-9.798553,0.441759,1
1.821193,-9.472365,1.319993,1
2.55666,-9.941367,0.519408,1
1.935893,-9.209052,1.665354,1
2.282245,-10.240559,0.437654,1
1.812995,-9.109501,1.536009,1
2.223581,-10.462626,0.364216,1
1.872549,-8.856844,1.689876,1
2.554399,-10.204543,0.530899,1
1.928276,-9.187542,1.430081,1
2.055399,-10.42844,0.262296,1
1.786589,-9.067981,1.695472,1
2.359622,-10.031822,0.19154,1
1.638776,-9.482837,1.75763,1
2.753681,-9.765618,-0.01331,1
1.825362,-9.511769,1.837397,1
2.260116,-10.189679,0.132872,1
2.087148,-9.09336,1.785626,1
2.147897,-10.154437,0.242281,1
1.835066,-9.115969,1.951672,1
2.474328,-10.120679,0.266138,1
2.137929,-9.023235,1.827742,1
1.93851,-10.223002,0.385776,1
1.629653,-9.497586,1.158475,1
2.052144,-10.010798,-0.200158,1
